2019-12-12, 22:08:43, 103000000, 105500000, 78125.00, 4864, -1.39, -2.63, -2.39, -0.02, 2.44, 2.65, 7.92, 5.71, 2.81, 0.57, 1.02, 0.84, 0.77, 1.37, 3.10, 3.28, 2.08, 2.08, 4.46, 2.16, 3.38, 2.55, 5.98, 11.51, 11.77, 4.12, 3.29, 2.43, -0.02, -0.29, 6.64, 5.33, 5.33
2019-12-12, 22:08:43, 105500000, 108000000, 78125.00, 4864, 6.04, 6.35, 5.32, 4.86, 5.93, 5.47, 5.22, 4.93, 7.26, 9.15, 6.94, 5.79, 10.93, 11.35, 7.41, 5.05, 5.93, 5.93, 5.88, 5.97, 11.07, 12.85, 7.27, 5.76, 6.07, 6.42, 6.71, 6.55, 9.94, 18.76, 13.71, 7.54, 7.54
2019-12-12, 22:08:53, 88000000, 90500000, 78125.00, 4864, 8.16, 9.17, 6.84, 7.15, 7.37, 8.34, 7.76, 8.14, 7.11, 6.42, 7.70, 8.87, 10.95, 12.04, 21.33, 13.70, 7.50, 7.50, 9.45, 7.68, 10.50, 8.81, 10.12, 8.79, 7.13, 6.05, 6.38, 7.79, 7.30, 8.39, 8.56, 10.65, 10.65
2019-12-12, 22:08:53, 90500000, 93000000, 78125.00, 4864, 4.19, -0.09, 4.66, 5.61, 2.48, 5.38, 3.74, 1.37, 2.92, 2.81, 0.21, 1.27, 2.50, 0.82, -0.42, -0.67, 0.16, 0.16, 0.43, 5.60, 3.31, 1.13, -0.70, 1.69, 1.48, 1.81, 6.81, 8.08, 2.78, -0.11, -1.88, -1.62, -1.62
2019-12-12, 22:08:53, 93000000, 95500000, 78125.00, 4864, 8.73, 10.64, 10.79, 11.05, 10.69, 9.17, 6.41, 6.84, 8.90, 9.99, 7.82, 8.16, 7.80, 6.62, 6.30, 6.28, 7.52, 7.52, 10.20, 10.51, 9.81, 8.28, 6.88, 8.44, 9.99, 17.67, 19.02, 12.58, 11.81, 10.58, 8.74, 8.31, 8.31
2019-12-12, 22:08:53, 95500000, 98000000, 78125.00, 4864, -2.41, 2.36, 2.70, -3.66, -6.58, -6.13, -3.02, 0.12, 1.35, 1.12, -2.66, -5.48, -6.08, -4.96, -3.40, -2.48, -3.16, -3.16, -4.49, -4.78, -5.00, -4.81, -4.25, -3.36, -1.11, -1.74, -2.83, -2.29, -4.74, -5.04, -5.91, -6.86, -6.86
2019-12-12, 22:08:53, 98000000, 100500000, 78125.00, 4864, 2.73, 2.31, 1.89, 2.04, 2.97, 6.45, 3.04, 4.74, 4.99, 2.99, 3.39, 3.35, 3.88, 4.42, 4.10, 2.86, 5.46, 5.46, 3.94, 6.42, 15.56, 12.84, 5.13, 3.57, 4.95, 4.28, 3.80, 3.79, 5.34, 14.51, 12.48, 4.73, 4.73
2019-12-12, 22:08:53, 100500000, 103000000, 78125.00, 4864, 4.38, 4.91, 4.80, 3.82, 3.98, 5.62, 5.49, 5.21, 5.66, 7.03, 13.24, 10.33, 5.97, 5.81, 6.22, 5.76, 3.88, 3.88, 3.92, 4.60, 4.18, 3.90, 4.73, 5.36, 6.77, 6.04, 5.64, 8.47, 19.86, 11.81, 7.14, 5.30, 5.30
2019-12-12, 22:08:53, 103000000, 105500000, 78125.00, 4864, -0.88, -2.31, -2.01, -0.11, 2.44, 2.66, 7.91, 5.96, 2.75, 0.71, 0.90, 0.92, 1.02, 1.30, 3.07, 3.46, 2.45, 2.45, 4.00, 1.95, 3.30, 2.92, 5.84, 12.23, 12.57, 4.21, 3.63, 2.42, 0.20, 0.02, 6.20, 5.22, 5.22
2019-12-12, 22:08:53, 105500000, 108000000, 78125.00, 4864, 6.25, 6.42, 5.36, 5.13, 6.03, 5.63, 5.33, 5.16, 7.40, 9.10, 7.72, 6.01, 10.68, 11.66, 7.95, 5.30, 5.91, 5.91, 5.97, 6.34, 11.54, 12.70, 7.47, 5.84, 6.37, 6.44, 6.78, 6.50, 9.12, 18.00, 14.70, 7.85, 7.85
2019-12-12, 22:09:03, 88000000, 90500000, 78125.00, 5120, 8.29, 9.40, 6.67, 7.25, 7.42, 8.65, 7.98, 8.41, 7.48, 6.71, 7.66, 9.27, 11.17, 12.15, 21.45, 12.69, 7.44, 7.44, 9.04, 7.60, 10.68, 9.19, 10.35, 9.42, 7.45, 6.29, 6.73, 8.20, 7.41, 8.70, 8.83, 10.85, 10.85
2019-12-12, 22:09:03, 90500000, 93000000, 78125.00, 5120, 4.28, 0.01, 5.16, 6.12, 2.32, 5.06, 3.92, 2.51, 2.94, 2.50, -0.19, 1.36, 2.89, 0.73, -0.21, -0.66, 0.08, 0.08, 0.51, 5.54, 3.52, 1.07, -0.95, 1.62, 1.60, 2.01, 6.35, 8.52, 2.77, 0.03, -1.89, -0.89, -0.89
2019-12-12, 22:09:03, 93000000, 95500000, 78125.00, 5120, 8.57, 10.99, 10.56, 11.42, 10.47, 9.03, 6.27, 6.65, 9.01, 9.89, 7.87, 7.64, 7.49, 6.47, 6.44, 6.21, 7.19, 7.19, 9.45, 10.05, 10.06, 8.14, 6.84, 8.47, 10.26, 18.01, 18.91, 12.91, 11.70, 10.92, 8.60, 8.01, 8.01
2019-12-12, 22:09:03, 95500000, 98000000, 78125.00, 5120, -2.47, 2.68, 2.18, -2.78, -6.57, -6.02, -3.33, -0.04, 0.92, 1.56, -2.70, -5.56, -6.03, -4.90, -3.63, -2.35, -3.22, -3.22, -4.51, -4.68, -4.93, -4.67, -3.87, -3.14, -1.26, -1.64, -2.73, -2.43, -5.10, -4.85, -5.40, -6.69, -6.69
