   121100000; 125                      ; AM                  ;       8330; Airband
   121125000; 126                      ; AM                  ;       8330; Airband
   121150000; 127                      ; AM                  ;       8330; Airband
   121175000; 128                      ; AM                  ;       8330; Airband
   121200000; 129 MCT APP DEP          ; AM                  ;       8330; Airband
   121225000; 130                      ; AM                  ;       8330; Airband
   121250000; 131                      ; AM                  ;       8330; Airband
   121275000; 132                      ; AM                  ;       8330; Airband
   121300000; 133                      ; AM                  ;       8330; Airband
   121325000; 134                      ; AM                  ;       8330; Airband
   121350000; 135                      ; AM                  ;       8330; Airband
   121375000; 136                      ; AM                  ;       8330; Airband
   121400000; 137                      ; AM                  ;       8330; Airband
   121425000; 138                      ; AM                  ;       8330; Airband
   121450000; 139                      ; AM                  ;       8330; Airband
   121475000; 140                      ; AM                  ;       8330; Airband
   121500000; 141                      ; AM                  ;       8330; Airband
   121525000; 142                      ; AM                  ;       8330; Airband
   121550000; 143                      ; AM                  ;       8330; Airband
   121575000; 144                      ; AM                  ;       8330; Airband
   121600000; 145 RKT GND              ; AM                  ;       8330; Airband
   121625000; 146                      ; AM                  ;       8330; Airband
   121650000; 147 DXB GND              ; AM                  ;       8330; Airband
   121675000; 148                      ; AM                  ;       8330; Airband
   121700000; 149                      ; AM                  ;       8330; Airband
   121725000; 150 DAPI                 ; AM                  ;       8330; Airband
   121750000; 151                      ; AM                  ;       8330; Airband
   121775000; 152                      ; AM                  ;       8330; Airband
   121800000; 153                      ; AM                  ;       8330; Airband
   121825000; 154                      ; AM                  ;       8330; Airband
   121850000; 155                      ; AM                  ;       8330; Airband
   121875000; 156 SHJ GND              ; AM                  ;       8330; Airband
   121900000; 157                      ; AM                  ;       8330; Airband
   121925000; 158                      ; AM                  ;       8330; Airband
   121950000; 159                      ; AM                  ;       8330; Airband
   121975000; 160                      ; AM                  ;       8330; Airband
   122000000; 161                      ; AM                  ;       8330; Airband
   122025000; 162                      ; AM                  ;       8330; Airband
   122050000; 163                      ; AM                  ;       8330; Airband
   122075000; 164                      ; AM                  ;       8330; Airband
   122100000; 165                      ; AM                  ;       8330; Airband
   122125000; 166                      ; AM                  ;       8330; Airband
   122150000; 167                      ; AM                  ;       8330; Airband
   122175000; 168                      ; AM                  ;       8330; Airband
   122200000; 169                      ; AM                  ;       8330; Airband
   122225000; 170                      ; AM                  ;       8330; Airband
   122250000; 171                      ; AM                  ;       8330; Airband
   122275000; 172                      ; AM                  ;       8330; Airband
   122300000; 173                      ; AM                  ;       8330; Airband
   122325000; 174                      ; AM                  ;       8330; Airband
   122350000; 175                      ; AM                  ;       8330; Airband
   122375000; 176                      ; AM                  ;       8330; Airband
   122400000; 177 SHJ ATIS             ; AM                  ;       8330; Airband
   122425000; 178                      ; AM                  ;       8330; Airband
   122450000; 179                      ; AM                  ;       8330; Airband
   122475000; 180                      ; AM                  ;       8330; Airband
   122500000; 181                      ; AM                  ;       8330; Airband
   122525000; 182                      ; AM                  ;       8330; Airband
   122550000; 183                      ; AM                  ;       8330; Airband
   122575000; 184                      ; AM                  ;       8330; Airband
   122600000; 185                      ; AM                  ;       8330; Airband
   122625000; 186                      ; AM                  ;       8330; Airband
   122650000; 187                      ; AM                  ;       8330; Airband
   122675000; 188                      ; AM                  ;       8330; Airband
   122700000; 189                      ; AM                  ;       8330; Airband
   122725000; 190                      ; AM                  ;       8330; Airband
   122750000; 191                      ; AM                  ;       8330; Airband
   122775000; 192                      ; AM                  ;       8330; Airband
   122800000; 193                      ; AM                  ;       8330; Airband
   122825000; 194                      ; AM                  ;       8330; Airband
   122850000; 195                      ; AM                  ;       8330; Airband
   122875000; 196                      ; AM                  ;       8330; Airband
   122900000; 197                      ; AM                  ;       8330; Airband
   122925000; 198                      ; AM                  ;       8330; Airband
   122950000; 199                      ; AM                  ;       8330; Airband
   122975000; 200                      ; AM                  ;       8330; Airband
   123000000; 201                      ; AM                  ;       8330; Airband
   123025000; 202                      ; AM                  ;       8330; Airband
   123050000; 203                      ; AM                  ;       8330; Airband
   123075000; 204                      ; AM                  ;       8330; Airband
   123100000; 205                      ; AM                  ;       8330; Airband
   123125000; 206                      ; AM                  ;       8330; Airband
   123150000; 207                      ; AM                  ;       8330; Airband
   123175000; 208                      ; AM                  ;       8330; Airband
   123200000; 209                      ; AM                  ;       8330; Airband
   123225000; 210                      ; AM                  ;       8330; Airband
   123250000; 211                      ; AM                  ;       8330; Airband
   123275000; 212                      ; AM                  ;       8330; Airband
   123300000; 213                      ; AM                  ;       8330; Airband
   123325000; 214                      ; AM                  ;       8330; Airband
   123350000; 215                      ; AM                  ;       8330; Airband
   123375000; 216                      ; AM                  ;       8330; Airband
   123400000; 217                      ; AM                  ;       8330; Airband
   123425000; 218                      ; AM                  ;       8330; Airband
   123450000; 219                      ; AM                  ;       8330; Airband
   123475000; 220                      ; AM                  ;       8330; Airband
   123500000; 221                      ; AM                  ;       8330; Airband
   123525000; 222                      ; AM                  ;       8330; Airband
   123550000; 223                      ; AM                  ;       8330; Airband
   123575000; 224                      ; AM                  ;       8330; Airband
   123600000; 225                      ; AM                  ;       8330; Airband
   123625000; 226                      ; AM                  ;       8330; Airband
   123650000; 227                      ; AM                  ;       8330; Airband
   123675000; 228                      ; AM                  ;       8330; Airband
   123700000; 229                      ; AM                  ;       8330; Airband
   123725000; 230                      ; AM                  ;       8330; Airband
   123750000; 231                      ; AM                  ;       8330; Airband
   123775000; 232                      ; AM                  ;       8330; Airband
   123800000; 233                      ; AM                  ;       8330; Airband
   123825000; 234                      ; AM                  ;       8330; Airband
   123850000; 235                      ; AM                  ;       8330; Airband
   123875000; 236                      ; AM                  ;       8330; Airband
   123900000; 237                      ; AM                  ;       8330; Airband
   123925000; 238                      ; AM                  ;       8330; Airband
   123950000; 239                      ; AM                  ;       8330; Airband
   123975000; 240                      ; AM                  ;       8330; Airband
   124000000; 241                      ; AM                  ;       8330; Airband
   124025000; 242                      ; AM                  ;       8330; Airband
   124050000; 243                      ; AM                  ;       8330; Airband
   124075000; 244                      ; AM                  ;       8330; Airband
   124100000; 245                      ; AM                  ;       8330; Airband
   124125000; 246                      ; AM                  ;       8330; Airband
   124150000; 247                      ; AM                  ;       8330; Airband
   124175000; 248                      ; AM                  ;       8330; Airband
   124200000; 249                      ; AM                  ;       8330; Airband
   124225000; 250                      ; AM                  ;       8330; Airband
   124250000; 251                      ; AM                  ;       8330; Airband
   124275000; 252                      ; AM                  ;       8330; Airband
   124300000; 253                      ; AM                  ;       8330; Airband
   124325000; 254                      ; AM                  ;       8330; Airband
   124350000; 255                      ; AM                  ;       8330; Airband
   124375000; 256                      ; AM                  ;       8330; Airband
   124400000; 257 AUH APP              ; AM                  ;       8330; Airband
   124425000; 258                      ; AM                  ;       8330; Airband
   124450000; 259 DXB DEP              ; AM                  ;       8330; Airband
   124475000; 260                      ; AM                  ;       8330; Airband
   124500000; 261                      ; AM                  ;       8330; Airband
   124525000; 262                      ; AM                  ;       8330; Airband
   124550000; 263                      ; AM                  ;       8330; Airband
   124575000; 264                      ; AM                  ;       8330; Airband
   124600000; 265 FJR TWR              ; AM                  ;       8330; Airband
   124625000; 266                      ; AM                  ;       8330; Airband
   124650000; 267                      ; AM                  ;       8330; Airband
   124675000; 268 SHJ APP              ; AM                  ;       8330; Airband
   124700000; 269                      ; AM                  ;       8330; Airband
   124725000; 270                      ; AM                  ;       8330; Airband
   124750000; 271                      ; AM                  ;       8330; Airband
   124775000; 272                      ; AM                  ;       8330; Airband
   124800000; 273                      ; AM                  ;       8330; Airband
   124825000; 274                      ; AM                  ;       8330; Airband
   124850000; 275                      ; AM                  ;       8330; Airband
   124875000; 276                      ; AM                  ;       8330; Airband
   124900000; 277 DXB APP              ; AM                  ;       8330; Airband
   124925000; 278                      ; AM                  ;       8330; Airband
   124950000; 279                      ; AM                  ;       8330; Airband
   124975000; 280                      ; AM                  ;       8330; Airband
   125000000; 281                      ; AM                  ;       8330; Airband
   125025000; 282                      ; AM                  ;       8330; Airband
   125050000; 283                      ; AM                  ;       8330; Airband
   125075000; 284                      ; AM                  ;       8330; Airband
   125100000; 285 AUH ATIS             ; AM                  ;       8330; Airband
   125125000; 286                      ; AM                  ;       8330; Airband
   125150000; 287                      ; AM                  ;       8330; Airband
   125175000; 288                      ; AM                  ;       8330; Airband
   125200000; 289                      ; AM                  ;       8330; Airband
   125225000; 290                      ; AM                  ;       8330; Airband
   125250000; 291                      ; AM                  ;       8330; Airband
   125275000; 292                      ; AM                  ;       8330; Airband
   125300000; 293                      ; AM                  ;       8330; Airband
   125325000; 294                      ; AM                  ;       8330; Airband
   125350000; 295                      ; AM                  ;       8330; Airband
   125375000; 296                      ; AM                  ;       8330; Airband
   125400000; 297                      ; AM                  ;       8330; Airband
