# '#' in 1st column is for commenting lines
# index 0..255 form color transition for spectrum/waterfall
# missing index entries get interpolated: very few entries are sufficient
# entries (index >= 256) are colors for special elements
# index, red, green, blue
  0,    0,   4,  56, first waterfall color
  1,    0,   4,  56, 
  2,    0,   5,  58, 
  3,    0,   5,  59, 
  4,    0,   5,  61, 
  5,    0,   7,  64, 
  6,    0,   9,  68, 
  7,    0,  10,  72, 
  8,    0,  12,  76, 
  9,    0,  14,  80, 
 10,    0,  15,  85, 
 11,    0,  17,  90, 
 12,    0,  19,  95, 
 13,    0,  22, 101, 
 14,    1,  24, 106, 
 15,    2,  26, 111, 
 16,    4,  27, 115, 
 17,    5,  29, 119, 
 18,    6,  31, 125, 
 19,    7,  33, 129, 
 20,    9,  35, 134, 
 21,   10,  36, 138, 
 22,   12,  38, 142, 
 23,   13,  40, 146, 
 24,   14,  41, 149, 
 25,   15,  43, 153, 
 26,   15,  43, 153, 
 27,   16,  44, 155, 
 28,   17,  46, 159, 
 29,   18,  47, 161, 
 30,   19,  49, 165, 
 31,   21,  51, 168, 
 32,   22,  53, 172, 
 33,   22,  54, 175, 
 34,   23,  55, 178, 
 35,   24,  57, 181, 
 36,   25,  58, 185, 
 37,   26,  60, 187, 
 38,   27,  61, 191, 
 39,   28,  62, 194, 
 40,   29,  64, 197, 
 41,   29,  65, 199, 
 42,   30,  66, 201, 
 43,   31,  67, 204, 
 44,   32,  70, 208, 
 45,   33,  72, 211, 
 46,   34,  74, 213, 
 47,   35,  75, 216, 
 48,   36,  76, 218, 
 49,   36,  78, 219, 
 50,   37,  79, 220, 
 51,   37,  81, 220, 
 52,   38,  83, 221, 
 53,   39,  85, 221, 
 54,   39,  87, 220, 
 55,   38,  89, 218, 
 56,   37,  92, 214, 
 57,   37,  94, 210, 
 58,   35,  96, 204, 
 59,   34,  98, 198, 
 60,   33, 101, 192, 
 61,   32, 104, 185, 
 62,   31, 106, 178, 
 63,   29, 109, 170, 
 64,   27, 112, 162, 
 65,   25, 115, 154, 
 66,   23, 118, 145, 
 67,   22, 120, 137, 
 68,   21, 123, 130, 
 69,   19, 125, 123, 
 70,   18, 128, 117, 
 71,   17, 130, 111, 
 72,   16, 133, 105, 
 73,   15, 135,  99, 
 74,   14, 138,  94, 
 75,   14, 140,  89, 
 76,   14, 143,  85, 
 77,   14, 146,  81, 
 78,   14, 148,  78, 
 79,   14, 151,  73, 
 80,   15, 154,  70, 
 81,   15, 157,  66, 
 82,   16, 160,  64, 
 83,   17, 163,  61, 
 84,   19, 167,  59, 
 85,   20, 171,  57, 
 86,   22, 175,  55, 
 87,   25, 178,  54, 
 88,   28, 182,  53, 
 89,   31, 186,  54, 
 90,   35, 189,  53, 
 91,   38, 192,  53, 
 92,   42, 194,  52, 
 93,   46, 196,  53, 
 94,   49, 197,  53, 
 95,   53, 198,  53, 
 96,   57, 199,  54, 
 97,   61, 200,  54, 
 98,   65, 200,  53, 
 99,   69, 199,  53, 
100,   73, 199,  52, 
101,   76, 198,  52, 
102,   80, 197,  51, 
103,   84, 196,  51, 
104,   89, 194,  50, 
105,   93, 192,  50, 
106,   98, 191,  50, 
107,  103, 189,  49, 
108,  109, 186,  49, 
109,  115, 183,  48, 
110,  122, 179,  47, 
111,  129, 175,  46, 
