# '#' in 1st column is for commenting lines
# index 0..255 form color transition for spectrum/waterfall
# missing index entries get interpolated: very few entries are sufficient
# entries (index >= 256) are colors for special elements
# index, red, green, blue
251,  250, 248, 217, 
252,  250, 249, 220, 
253,  250, 251, 234, 
254,  250, 253, 245, 
255,  250, 255, 255, last  waterfall color
256,  255,   0,   0, line on tune frequency in RF spectrum
257,  255,   1,   0, line height in percent: 0 - 255 in red; line width in green
258,    0, 255,   0, line on mousepos for setting notch
259,  192, 192, 192, spectrum line, when not painting filled spectrum
260,    1,   0,   0, no color - width of unfilled spectrum line in red
261,  128, 128, 128, spectrum line, when painting filled spectrum
262,    1,   0,   0, no color - width of filled spectrum line in red
263,   40,  40,  40, level grid lines
264,    1,   1,   0, no color - width of grid line in red; position front=1 back=2 in green; min text distance in blue
265,  255, 255,   0, pitch text
266,  255,   0,   0, filter curve in AF spectrum
267,    1,   0,   0, no color - width of filter curve
268,    0, 192,   0, afc tune lock
269,  255, 255,   0, afc tune hold
270,  255,   0,   0, afc tune unlock
271,    0,   0, 128, bottom for interpolation in filled spectrum
272,    0, 128,   0, center for interpolation in filled spectrum
273,  255,   0,   0, top    for interpolation in filled spectrum
274,    0,   0,  48, bottom for interpolation in spectrum background
275,    0,   0,  48, center for interpolation in spectrum background
276,    0,   0,  48, top    for interpolation in spectrum background
277,    0,  80, 128, bottom for interpolation in Rx band
278,    0,  80, 128, center for interpolation in Rx band
279,    0,  80, 128, top    for interpolation in Rx band
280,  255, 255, 255, level and time labels
281,  255, 255,   0, text on mouse-position - 0/0/0 is transparent!
282,    0,   0,  48, background of frequency scale
283,  255, 255, 255, foreground of frequency scale
284,  255,   0,   0, arrows of frequency scale
